threshold,precision,recall,f1,predicted_failures,true_positives,false_positives,true_negatives,false_negatives
0.01,0.034,1.0,0.06576402321083172,2000,68,1932,0,0
0.02,0.034,1.0,0.06576402321083172,2000,68,1932,0,0
0.03,0.034,1.0,0.06576402321083172,2000,68,1932,0,0
0.04,0.034,1.0,0.06576402321083172,2000,68,1932,0,0
0.05,0.03405107661492238,1.0,0.0658595641646489,1997,68,1929,3,0
0.060000000000000005,0.035233160621761656,1.0,0.06806806806806806,1930,68,1862,70,0
0.06999999999999999,0.041212121212121214,1.0,0.07916181606519208,1650,68,1582,350,0
0.08,0.04981412639405204,0.9852941176470589,0.09483368719037508,1345,67,1278,654,1
0.09,0.06036036036036036,0.9852941176470589,0.11375212224108658,1110,67,1043,889,1
0.09999999999999999,0.06680161943319839,0.9705882352941176,0.12500000000000003,988,66,922,1010,2
0.11,0.07728894173602854,0.9558823529411765,0.14301430143014301,841,65,776,1156,3
0.12,0.09015256588072122,0.9558823529411765,0.164765525982256,721,65,656,1276,3
0.13,0.10252365930599369,0.9558823529411765,0.1851851851851852,634,65,569,1363,3
0.14,0.1097972972972973,0.9558823529411765,0.19696969696969696,592,65,527,1405,3
0.15000000000000002,0.11818181818181818,0.9558823529411765,0.21035598705501618,550,65,485,1447,3
0.16,0.12333965844402277,0.9558823529411765,0.2184873949579832,527,65,462,1470,3
0.17,0.1264591439688716,0.9558823529411765,0.2233676975945017,514,65,449,1483,3
0.18000000000000002,0.1326530612244898,0.9558823529411765,0.23297491039426527,490,65,425,1507,3
0.19,0.13541666666666666,0.9558823529411765,0.23722627737226273,480,65,415,1517,3
0.2,0.13859275053304904,0.9558823529411765,0.24208566108007448,469,65,404,1528,3
0.21000000000000002,0.14161220043572983,0.9558823529411765,0.24667931688804554,459,65,394,1538,3
0.22,0.14541387024608501,0.9558823529411765,0.25242718446601936,447,65,382,1550,3
0.23,0.1511627906976744,0.9558823529411765,0.26104417670682734,430,65,365,1567,3
0.24000000000000002,0.1570048309178744,0.9558823529411765,0.26970954356846477,414,65,349,1583,3
0.25,0.1649746192893401,0.9558823529411765,0.2813852813852814,394,65,329,1603,3
